business,city,state,category,website,phone,services,source_url,checked_on,maps_url,maps_status
Nick's Plumbing & Air Conditioning,Houston,TX,plumbing_hvac,https://www.nicksplumbing.com/,+17138689907,Plumbing repairs|Water heaters|Drain cleaning,https://www.nicksplumbing.com/,2026-09-22,,pending
"Abacus Plumbing, Air Conditioning & Electrical",Houston,TX,plumbing_hvac,https://www.abacusplumbing.net/,+17137663605,Plumbing repairs|Drain cleaning|Leak detection,https://www.abacusplumbing.net/,2026-09-22,,pending
Lucky's Plumbing,Houston,TX,plumbing,https://luckysplumbing.com/,+17134641921,Plumbing repairs|Water heaters|Leak detection,https://luckysplumbing.com/,2026-09-22,,pending
Texas Quality Plumbing,Houston,TX,plumbing,https://texasqualityplumbing.com/,+13466362418,Water heaters|Drain cleaning|Repiping|Gas lines,https://texasqualityplumbing.com/,2026-09-22,,pending
Wedgeworth Plumbing,Houston,TX,plumbing,https://wedgeworthplumbing.com/,,Plumbing repairs|Water heaters,https://wedgeworthplumbing.com/,2026-09-22,,pending
Mission Air Conditioning & Plumbing,Houston,TX,plumbing_hvac,https://www.missionac.com/,,Water heaters|Air conditioning|Heating,https://www.missionac.com/,2026-09-22,,pending
"Village Plumbing, Air & Electric",Houston,TX,plumbing_hvac,https://villageplumbing.com/,+12819576221,Plumbing repairs|Air conditioning|Heating,https://villageplumbing.com/,2026-09-22,,pending
John Moore Services,Houston,TX,plumbing,https://www.johnmooreservices.com/plumbing/,+17138539881,Plumbing repairs|Repiping|Sewer repairs,https://www.johnmooreservices.com/plumbing/,2026-09-22,,pending
GEI Plumbing Services,Houston,TX,plumbing,https://www.geiplumbingservices.com/,+18324027860,Plumbing repairs,https://www.geiplumbingservices.com/,2026-09-22,,pending
Aqueduct Plumbing Company,Houston,TX,plumbing,https://aqueductplumbingcompany.com/services/,,Plumbing repairs|Repiping|Gas lines,https://aqueductplumbingcompany.com/services/,2026-09-22,,pending
